datum,oib,primatelj,mjesto,iznos,valuta,opis,pozivNaBroj,iban,sifraPK,nazivPK,tipOsobe,isplateUuid,brojUgovora,konto_sifra,konto_naziv,konto_iznos
2026-04-16 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,22473.70,EUR,,HR99,,,,P,7121daf0-9099-4e6a-ace2-44a134a0fec4,,3238,Računalne usluge,22473.7
2026-04-02 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,375.00,EUR,,HR99,,,,P,fba9307f-3362-4b62-84e9-1959f0645649,,3234,Komunalne usluge,375
2026-04-02 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,375.00,EUR,,HR99,,,,P,add1a3ee-aa17-4f9b-9ff8-33ef8d18f313,,3234,Komunalne usluge,375
2026-04-02 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,181256.25,EUR,,HR99,,,,P,1e9d3224-168e-4c87-9b1d-478a08d89bd1,,3238,Računalne usluge,181256.25
2026-04-02 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,3300.00,EUR,,HR99,,,,P,bcc1c0ba-59eb-424f-ac6e-49d37b4982fb,,3238,Računalne usluge,3300
2026-03-13 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,375.00,EUR,,HR99,,,,P,45894682-632c-4449-b6aa-145ee797228a,,3234,Komunalne usluge,375
2026-01-30 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,22473.70,EUR,,HR99,,,,P,7ce89922-f954-43c9-a7f3-b2eef6c18902,,3238,Računalne usluge,22473.7
2026-01-30 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,375.00,EUR,,HR99,,,,P,082795ad-8dbb-4802-b45c-0d7ed3d2e807,,3234,Komunalne usluge,375
2026-01-07 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,375.00,EUR,,HR99,,,,P,e9d06d68-6c72-4d96-b98c-bbe49f60301c,,3234,Komunalne usluge,375
2026-01-02 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,22473.70,EUR,,HR99,,,,P,e77fb73d-2c4a-4943-839d-f0ab004e6bbb,,3238,Računalne usluge,22473.7
2025-12-12 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,22435.95,EUR,,HR99,,,,P,71bfb21b-1d90-4c68-be14-d55dbc6bd931,,3238,Računalne usluge,22435.95
2025-12-12 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,77681.25,EUR,,HR99,,,,P,0f5a3e27-7abf-4aba-afca-f4ecab09e016,,3238,Računalne usluge,77681.25
2025-11-28 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,375.00,EUR,,HR99,,,,P,78122e78-243a-4471-b1e5-74fa8d3dfb51,,3234,Komunalne usluge,375
2025-11-19 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,37.75,EUR,,HR99,,,,P,816b657a-85da-4361-9303-92ab39311fb9,,3238,Računalne usluge,37.75
2025-11-12 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,22473.70,EUR,,HR99,,,,P,88ecdc03-3907-47db-bb9d-39333069f53f,,3238,Računalne usluge,22473.7
2025-11-07 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,22473.70,EUR,,HR99,,,,P,781bfd04-4bd8-4e26-adbe-28748bcf7a13,,3238,Računalne usluge,22473.7
2025-10-30 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,375.00,EUR,,HR99,,,,P,d03925bd-aaf9-4334-8834-2f2def37f85b,,3234,Komunalne usluge,375
